227493,Jane Doe,8769999,abc@aol.com,375 W. Lake Street Dorchester Center MA 02124,2022,1,1
417382,Alyssa Roach,3725837,def@gmail.com,81 Third St. Brick NJ 08723,2022,1,2
365848,Teagan Logan,1829432,ghi@yahoo.com,638 E. Plymouth Rd. Newton NJ 07860,2020,2,20
120284,Elliot Wilcox,9394868,jkl@hotmail.com,7452 Linden Court Pompano Beach FL 33060,2021,4,5
923853,Tyler Austin,4892933,mno@gmail.com,82 Nichols Street Haines City FL 33844,2022,2,2
502039,Orion Mccoy,1393331,pqr@outlook.com,768 Whitemarsh Lane Rocky Mount NC 27804,2020,9,4
592999,Name One,1912222,one@gmail.com,212 Wild Rose St. Westland MI 48185,2022,2,28
583284,Name Two,1938492,two@gmail.com,9939 Lyme Lane Amityville NY 11701,2022,2,27
103849,Name 3,6839423,three@gmail.com,689 Pin Oak Circle Fredericksburg VA 22405,2022,2,28
294018,Name 4,4294929,four@gmail.com,test4,2022,2,20
